Metadata:
Absolute time = 1744688199.2947414
Time since start = 3060.003320455551 seconds
Sample Rate: {'sample_rate': 609756.0975609756}

ch1,ch2,time
-0.0012212995206937194,-5.002442836761475,-0.006084400000000001
-0.0012212995206937194,-5.002442836761475,-0.006064720000000001
-0.0012212995206937194,-5.002442836761475,-0.006045040000000001
-0.0012212995206937194,-5.002442836761475,-0.0060253600000000004
0.0,-5.002442836761475,-0.006005680000000001
-0.0012212995206937194,-5.002442836761475,-0.005986000000000001
-0.0012212995206937194,-5.002442836761475,-0.005966320000000001
-0.0012212995206937194,-5.002442836761475,-0.005946640000000001
0.0,-5.002442836761475,-0.005926960000000001
-0.0012212995206937194,-5.002442836761475,-0.005907280000000001
-0.0012212995206937194,-5.002442836761475,-0.005887600000000001
-0.0012212995206937194,-4.993893740116619,-0.00586792
-0.0012212995206937194,-4.9780168463476,-0.005848240000000001
0.0,-4.959697353537194,-0.005828560000000001
0.0,-4.942599160247482,-0.005808880000000001
0.0,-4.92550096695777,-0.005789200000000001
-0.0012212995206937194,-4.909624073188752,-0.005769520000000001
-0.0012212995206937194,-4.891304580378346,-0.005749840000000001
-0.0012212995206937194,-4.875427686609328,-0.005730160000000001
-0.0012212995206937194,-4.858329493319616,-0.00571048
-0.0012212995206937194,-4.842452599550597,-0.005690800000000001
0.0,-4.825354406260885,-0.005671120000000001
-0.0012212995206937194,-4.808256212971173,-0.005651440000000001
-0.0012212995206937194,-4.791158019681461,-0.005631760000000001
-0.0012212995206937194,-4.774059826391749,-0.005612080000000001
-0.0012212995206937194,-4.7594042321434245,-0.005592400000000001
-0.0012212995206937194,-4.741084739333019,-0.005572720000000001
-0.0012212995206937194,-4.725207845564,-0.00555304
-0.0012212995206937194,-4.7068883527535945,-0.005533360000000001
-0.0012212995206937194,-4.6897901594638824,-0.005513680000000001
-0.0012212995206937194,-4.67269196617417,-0.005494000000000001
-0.0012212995206937194,-4.656815072405152,-0.005474320000000001
-0.0012212995206937194,-4.640938178636134,-0.005454640000000001
-0.0012212995206937194,-4.622618685825728,-0.005434960000000001
-0.0012212995206937194,-4.604299193015322,-0.005415280000000001
-0.0012212995206937194,-4.588422299246304,-0.0053956
-0.0012212995206937194,-4.571324105956592,-0.005375920000000001
-0.0012212995206937194,-4.555447212187573,-0.005356240000000001
0.0,-4.538349018897861,-0.005336560000000001
-0.0012212995206937194,-4.522472125128843,-0.005316880000000001
-0.0012212995206937194,-4.502931332797743,-0.005297200000000001
-0.0024425990413874388,-4.487054439028725,-0.005277520000000001
-0.0012212995206937194,-4.471177545259707,-0.005257840000000001
0.0,-4.455300651490688,-0.00523816
-0.0012212995206937194,-4.438202458200976,-0.005218480000000001
-0.0012212995206937194,-4.421104264911264,-0.005198800000000001
-0.0012212995206937194,-4.404006071621552,-0.005179120000000001
-0.0012212995206937194,-4.38690787833184,-0.005159440000000001
-0.0012212995206937194,-4.369809685042128,-0.005139760000000001
-0.0012212995206937194,-4.352711491752416,-0.005120080000000001
0.0,-4.33439199894201,-0.005100400000000001
-0.0012212995206937194,-4.318515105172992,-0.00508072
-0.0012212995206937194,-4.30141691188328,-0.005061040000000001
-0.0012212995206937194,-4.285540018114261,-0.005041360000000001
-0.0012212995206937194,-4.268441824824549,-0.005021680000000001
-0.0024425990413874388,-4.2501223320141435,-0.005002000000000001
-0.0024425990413874388,-4.234245438245125,-0.004982320000000001
-0.003663898562081158,-4.2195898439968005,-0.004962640000000001
-0.0048851980827748775,-4.200049051665701,-0.004942960000000001
-0.0048851980827748775,-4.184172157896683,-0.00492328
-0.0048851980827748775,-4.1670739646069705,-0.004903600000000001
-0.006106497603468597,-4.151197070837952,-0.004883920000000001
-0.008549096644856036,-4.13409887754824,-0.004864240000000001
-0.010991695686243474,-4.117000684258528,-0.004844560000000001
-0.01709819328971207,-4.099902490968816,-0.004824880000000001
-0.02076209185179323,-4.084025597199798,-0.004805200000000001
-0.029311188496649265,-4.068148703430779,-0.004785520000000001
-0.04274548322428018,-4.047386611578986,-0.00476584
-0.06595017411746085,-4.032731017330661,-0.004746160000000001
-0.10503175877965987,-4.016854123561643,-0.004726480000000001
-0.1636541357729584,-3.999755930271931,-0.004706800000000001
-0.22227651276625693,-3.9802151379408315,-0.004687120000000001
-0.24181730509735644,-3.964338244171813,-0.004667440000000001
-0.2332682084525004,-3.947240050882101,-0.004647760000000001
-0.22349781228695065,-3.930141857592389,-0.0046280800000000006
-0.2076209185179323,-3.9154862633440644,-0.0046084
-0.19052272522822022,-3.8983880700543523,-0.004588720000000001
-0.17830973002128303,-3.88128987676464,-0.004569040000000001
-0.15999023721087724,-3.864191683474928,-0.0045493600000000006
-0.13434294727630913,-3.8458721906645223,-0.004529680000000001
-0.10991695686243474,-3.8312165964161977,-0.004510000000000001
-0.09404006309341639,-3.812897103605792,-0.004490320000000001
-0.07816316932439804,-3.7970202098367736,-0.0044706400000000006
-0.05740107747260481,-3.778700717026368,-0.00445096
-0.03541768610011786,-3.7616025237366557,-0.004431280000000001
-0.01954079233109951,-3.7457256299676374,-0.004411600000000001
-0.012212995206937194,-3.729848736198619,-0.0043919200000000005
-0.007327797124162316,-3.712750542908907,-0.004372240000000001
-0.007327797124162316,-3.6968736491398886,-0.004352560000000001
-0.003663898562081158,-3.677332856808789,-0.004332880000000001
-0.003663898562081158,-3.660234663519077,-0.0043132000000000005
-0.003663898562081158,-3.6455790692707524,-0.00429352
-0.003663898562081158,-3.6284808759810403,-0.004273840000000001
-0.0024425990413874388,-3.6101613831706345,-0.004254160000000001
-0.003663898562081158,-3.59550578892231,-0.0042344800000000005
-0.003663898562081158,-3.5796288951532915,-0.004214800000000001
-0.0024425990413874388,-3.560088102822192,-0.004195120000000001
-0.0012212995206937194,-3.5442112090531737,-0.004175440000000001
-0.0012212995206937194,-3.5271130157634616,-0.0041557600000000005
-0.0024425990413874388,-3.5100148224737495,-0.00413608
